IMO,MMSI,Name,Type_Code,Type,Length_m,Beam_m,Draught_m,Flag,Nav_Status,SOG_kn,Callsign,Destination,Latitude,Longitude,Last_Seen
9754276,572584220,RAWABI 61,70,Cargo,66,16,3.9,,Moored,102.2,T2WX5,DMC-DUBAI,23.95294,52.214867,2026-03-02 06:40:36 UTC
,572765220,RAWABI 73,,,,,,,Moored,0,,,25.270573,55.25703,2026-03-02 06:40:26 UTC
,470014000,RAZEEN1,,,,,,UAE,Not Defined,1.2,,,25.419652,54.920992,2026-03-02 06:47:34 UTC
,636026077,ROTTERDAM ENERGY,,,,,,Liberia,At Anchor,1.1,,,25.372268,55.05116,2026-03-02 06:28:50 UTC
7924425,305038300,SAPHIRA,70,Cargo,186,32,7.3,Antigua,Moored,0,V2B2038,DUBAI,25.252783,55.26725,2026-03-02 06:49:18 UTC
,538005632,SARV SHAKTI,,,,,,Marshall Is.,At Anchor,47.6,,,24.248825,52.942442,2026-03-02 06:56:46 UTC
,352978118,SEAMEC PALADIN,,,,,,Panama,Moored,0.1,,,25.248238,55.266153,2026-03-02 06:56:03 UTC
,378114627,SHELLY,,,,,,BVI,,0,,,25.238702,55.251012,2026-03-02 06:56:18 UTC
,538010197,SINGAPORE LOYALTY,,,,,,Marshall Is.,At Anchor,1.8,,,25.427845,55.021112,2026-03-02 06:57:07 UTC
,636020364,SOLAR ROMA,,,,,,Liberia,At Anchor,0.1,,,25.433777,55.056085,2026-03-02 06:47:45 UTC
,538010676,ST. NIKOLAS,,,,,,Marshall Is.,Moored,3.2,,,25.250972,55.267993,2026-03-02 06:46:46 UTC
,352001834,STANFORD BRAVO,,,,,,Panama,Moored,2.2,,,25.26891,55.260068,2026-03-02 06:55:30 UTC
,376955000,STANFORD HAWK,,,,,,St Vincent,Moored,0,,,25.272643,55.259498,2026-03-02 06:45:57 UTC
,377439000,STANFORD PROVIDER,,,,,,St Vincent,Moored,5.4,,,25.26899,55.256307,2026-03-02 06:54:04 UTC
,256349000,STELLATA,,,,,,Malta,Moored,23.1,,,25.250163,55.267487,2026-03-02 06:38:44 UTC
,312787000,STINGRAY,,,,,,Belize,Moored,0.1,,,25.245965,55.264783,2026-03-02 06:31:07 UTC
,377493000,SWISSCO JUPITER,,,,,,St Vincent,Moored,0,,,25.269753,55.276068,2026-03-02 06:40:09 UTC
,422881200,TANDIS 31,,,,,,Iran,Not Under Command,0.1,,,25.266618,55.26058,2026-03-02 06:52:46 UTC
,538007319,TOPAZ AMUR,,,,,,Marshall Is.,Moored,0,,,25.249023,55.265357,2026-03-02 06:29:50 UTC
9816971,538007324,TOPAZ VOLGA,70,Cargo,123,16,3,Marshall Is.,Moored,0.1,V7JE8,AE DXB,25.246692,55.263523,2026-03-02 06:56:26 UTC
8224561,470004823,TUG GULF DOLPHIN,52,Tug,21,7,3,UAE,Under Way (Sailing),11.2,A6E4823,NAIAPR0JECT,25.17633,55.201215,2026-03-02 06:56:26 UTC
,565869000,VALLIANZ SUPREME,,,,,,Singapore,Moored,5,,,25.271855,55.260403,2026-03-02 06:49:12 UTC
9449065,210621000,WILLEM VAN ORANJE,33,Dredger,137,28,10,Cyprus,At Anchor,102.2,5BVU3,DREDGING DUBAI,23.949663,52.227665,2026-03-02 06:47:06 UTC
9978054,413563030,XIN ZI LANG 6,33,Dredger,171,36,6.4,China,At Anchor,0.3,BPKZ3,ANNABA,25.42577,55.071568,2026-03-02 06:48:59 UTC
,319062900,Z,,,,,,Cayman Is.,Moored,0.1,,,25.262117,55.275362,2026-03-02 06:36:36 UTC
