IMO,MMSI,Name,Type_Code,Type,Length_m,Beam_m,Draught_m,Flag,Nav_Status,SOG_kn,Callsign,Destination,Latitude,Longitude,Last_Seen
,470000000,PLC-03,52,Tug,18,8,2,UAE,Restricted Manoeuvrability,0.2,_,DUBAI,25.213022,55.196235,2026-03-02 06:10:01 UTC
,572525220,RAWABI 208,,,,,,,Moored,0.1,,,25.272582,55.259765,2026-03-02 06:09:56 UTC
9754276,572584220,RAWABI 61,70,Cargo,66,16,3.9,,Moored,0.1,T2WX5,DMC-DUBAI,25.267002,55.26161,2026-03-02 06:08:56 UTC
,376955000,STANFORD HAWK,,,,,,St Vincent,Moored,0.6,,,25.272638,55.25948,2026-03-02 06:09:30 UTC
,312787000,STINGRAY,,,,,,Belize,Moored,0,,,25.24591,55.264903,2026-03-02 06:07:06 UTC
,377493000,SWISSCO JUPITER,,,,,,St Vincent,Moored,0,,,25.269738,55.276048,2026-03-02 06:08:30 UTC
9816971,538007324,TOPAZ VOLGA,70,Cargo,123,16,3,Marshall Is.,,,V7JE8,AE DXB,25.246693,55.263483,2026-03-02 06:09:34 UTC
8224561,470004823,TUG GULF DOLPHIN,52,Tug,21,7,3,UAE,Under Way (Sailing),0,A6E4823,NAIAPR0JECT,25.17629,55.201588,2026-03-02 06:09:55 UTC
,565869000,VALLIANZ SUPREME,,,,,,Singapore,Moored,1.2,,,25.272355,55.259993,2026-03-02 06:10:10 UTC
9449065,210621000,WILLEM VAN ORANJE,33,Dredger,137,28,10,Cyprus,At Anchor,102.2,5BVU3,DREDGING DUBAI,23.977042,52.243035,2026-03-02 06:10:08 UTC
,413563030,XIN ZI LANG 6,,,,,,China,At Anchor,0,,,25.425793,55.071288,2026-03-02 06:08:50 UTC
